,0,1,2,3
"[15.0, 15.0, 65.0, 65.0]",11.987306489735406,2.755265169830171,22.739955934666057,54.95389999999976
"[15.0, 95.0, 65.0, 145.0]",-1.2030884510329436,-10.0,-1.2247897700103205,29.16053906337616
"[95.0, 95.0, 145.0, 145.0]",14.289691052852518,-34.39,2.0319063134854467,70.18999999999977
"[175.0, 95.0, 225.0, 145.0]",1.0507505549897433,79.09999999999982,11.450635890498358,-40.951
"[175.0, 175.0, 225.0, 225.0]",17.128825164207587,0.4408999999999991,-46.8559,88.99999999999989
finished,0,0,0,0
"[95.0, 15.0, 145.0, 65.0]",14.129522773353912,62.170999999999765,13.469411489349188,2.6367564783878414
"[175.0, 15.0, 225.0, 65.0]",-0.7691859380722792,23.92079817279721,-0.7579029738444362,-19.0
"[175.0, 255.0, 225.0, 305.0]",15.028999999999982,-10.0,-0.1,-0.1
"[95.0, 255.0, 145.0, 305.0]",-10.0,0,0,0
"[255.0, 175.0, 305.0, 225.0]",-34.39,-0.35290000000000005,7.9099999999999895,99.99999999999994
"[255.0, 255.0, 305.0, 305.0]",-0.1,-10.0,-0.19,-0.1
"[335.0, 255.0, 385.0, 305.0]",0,-10.0,0,0
